feature,importance
Historical_Txn_Count,1785
Customer_Tenure_Days,1113
Transaction_Count,943
Historical_Spend,551
Avg_Days_Between_Purchases,497
Transactions_Per_Month,418
Order_Value_CV,416
Total_Spend,403
Std_Order_Value,299
Std_Cart_Size,286
Age,264
Avg_Cart_Size,254
Preferred_Day_Encoded,248
Frequency,226
Std_Rating,213
Avg_Rating,183
Preferred_Hour,183
Avg_Order_Value,182
Pct_Processing,123
Customer_LTV,114
Category_Entropy,90
Unique_Brands,82
Pct_Shipped,80
Min_Rating,68
Max_Cart_Size,67
Weekend_Purchase_Pct,64
Payment_Method_Changes,47
Max_Rating,39
Frequency_Score,32
Shipping_Method_Changes,24
Monetary_Score,11
Unique_Categories,9
Is_Satisfied_Customer,4
Pct_Cancelled,0
